Vuln ID|Summary|Published Date|CVSS Severity|Link
CVE-2006-0061|xlockmore 5.13 and 5.22 segfaults when using libpam-opensc and returns the underlying xsession. This allows unauthorized users access to the X session.|November 05, 2019; 9:15:10 PM -0500|V3.1: 9.8 CRITICAL      V2.0: 7.5 HIGH (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-0061&vector=AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-0061
CVE-2006-0062|xlockmore 5.13 allows potential xlock bypass when FVWM switches to the same virtual desktop as a new Gaim window.|November 05, 2019; 10:15:10 PM -0500|V3.1: 9.8 CRITICAL      V2.0: 7.5 HIGH (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-0062&vector=AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-0062
CVE-2006-10001|A vulnerability, which was classified as problematic, was found in Subscribe to Comments Plugin up to 2.0.7 on WordPress. This affects an unknown part of the file subscribe-to-comments.php. The manipulation leads to cross site scripting. It is possible to initiate the attack remotely. Upgrading to version 2.0.8 is able to address this issue. The identifier of the patch is 9683bdf462fcac2f32b33be98f0b96497fbd1bb6. It is recommended to upgrade the affected component. The identifier VDB-222321 was assigned to this vulnerability.|March 05, 2023; 4:15:09 PM -0500|V3.1: 5.4 MEDIUMV2.0:(not available)  (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-10001&vector=AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-10001
CVE-2006-20001|"A carefully crafted If: request header can cause a memory read, or write of a single zero byte, in a pool (heap) memory location beyond the header value sent. This could cause the process to crash.

This issue affects Apache HTTP Server 2.4.54 and earlier."|January 17, 2023; 3:15:11 PM -0500|V3.1: 7.5 HIGHV2.0:(not available)  (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-20001&vector=AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-20001
CVE-2006-3100|termpkg 3.3 suffers from buffer overflow.|November 05, 2019; 10:15:10 PM -0500|V3.1: 9.8 CRITICAL      V2.0: 7.5 HIGH (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-3100&vector=AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-3100
CVE-2006-4243|linux vserver 2.6 before 2.6.17 suffers from privilege escalation in remount code.|November 05, 2019; 10:15:10 PM -0500|V3.1: 9.8 CRITICAL      V2.0: 10.0 HIGH (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-4243&vector=AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-4243
CVE-2006-4245|archivemail 0.6.2 uses temporary files insecurely leading to a possible race condition.|November 05, 2019; 10:15:10 PM -0500|V3.1: 8.1 HIGH      V2.0: 6.8 MEDIUM (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-4245&vector=AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-4245
CVE-2006-5331|The altivec_unavailable_exception function in arch/powerpc/kernel/traps.c in the Linux kernel before 2.6.19 on 64-bit systems mishandles the case where CONFIG_ALTIVEC is defined and the CPU actually supports Altivec, but the Altivec support was not detected by the kernel, which allows local users to cause a denial of service (panic) by triggering execution of an Altivec instruction.|October 29, 2017; 2:29:00 AM -0400|V3.0: 5.5 MEDIUM      V2.0: 4.9 MEDIUM (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-5331&vector=AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H&version=3.0&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-5331
CVE-2006-7246|NetworkManager 0.9.x does not pin a certificate's subject to an ESSID when 802.11X authentication is used.|January 27, 2020; 10:15:10 AM -0500|V3.1: 6.8 MEDIUM      V2.0: 3.2 LOW (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-7246&vector=AV:A/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N&version=3.1&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-7246
CVE-2006-7254|The nscd daemon in the GNU C Library (glibc) before version 2.5 does not close incoming client sockets if they cannot be handled by the daemon, allowing local users to carry out a denial of service attack on the daemon.|April 10, 2019; 4:29:00 PM -0400|V3.0: 5.5 MEDIUM      V2.0: 2.1 LOW (https://nvd.nist.gov/vuln-metrics/cvss/v3-calculator?name=CVE-2006-7254&vector=AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H&version=3.0&source=NIST)|https://nvd.nist.gov/vuln/detail/CVE-2006-7254
