Vuln ID,Summary,CVSS Severity,Link
CVE-2023-44092,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') vulnerability in Pandora FMS on all allows OS Command Injection. This vulnerability allowed to create a reverse shell and execute commands in the OS. This issue affects Pandora FMS: from 700 through <776.,"March 19, 2024; 1:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-44092
CVE-2023-44091,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Pandora FMS on all allows SQL Injection. This ulnerability allowed SQL injections to be made even if authentication failed.This issue affects Pandora FMS: from 700 through <776.,"March 19, 2024; 1:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-44091
CVE-2023-44090,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Pandora FMS on all allows CVE-2008-5817. This vulnerability allowed SQL changes to be made to several files in the Grafana module. This issue affects Pandora FMS: from 700 through <776.,"March 19, 2024; 1:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-44090
CVE-2023-42920,Claris International has fixed a dylib hijacking vulnerability in the FileMaker Pro.app and Claris Pro.app versions on macOS.,"March 19, 2024; 1:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-42920
CVE-2023-41793,: Path Traversal vulnerability in Pandora FMS on all allows Path Traversal. This vulnerability allowed changing directories and creating files and downloading them outside the allowed directories. This issue affects Pandora FMS: from 700 through <776.,"March 19, 2024; 1:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-41793
CVE-2023-6597,"An issue was found in the CPython `tempfile.TemporaryDirectory` class affecting versions 3.12.2, 3.11.8, 3.10.13, 3.9.18, and 3.8.18 and prior.

The tempfile.TemporaryDirectory class would dereference symlinks during cleanup of permissions-related errors. This means users which can run privileged programs are potentially able to modify permissions of files referenced by symlinks in some circumstances.","March 19, 2024; 12:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-6597
CVE-2023-32260,"Misinterpretation of Input vulnerability in OpenText™ Service Management Automation X (SMAX), OpenText™ Asset Management X (AMX), and OpenText™ Hybrid Cloud Management X (HCMX) products. The vulnerability could allow Input data manipulation.This issue affects Service Management Automation X (SMAX) versions: 2020.05, 2020.08, 2020.11, 2021.02, 2021.05, 2021.08, 2021.11, 2022.05, 2022.11, 2023.05; Asset Management X (AMX) versions: 2021.08, 2021.11, 2022.05, 2022.11, 2023.05; and Hybrid Cloud Management X (HCMX) versions: 2020.05, 2020.08, 2020.11, 2021.02, 2021.05, 2021.08, 2021.11, 2022.05, 2022.11, 2023.05.","March 19, 2024; 12:15:08 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-32260
CVE-2023-32259,"Insufficient Granularity of Access Control vulnerability in OpenText™ Service Management Automation X (SMAX), OpenText™ Asset Management X (AMX) allows Exploiting Incorrectly Configured Access Control Security Levels.This issue affects Service Management Automation X (SMAX) versions 2020.05, 2020.08, 2020.11, 2021.02, 2021.05, 2021.08, 2021.11, 2022.05, 2022.11; and Asset Management X (AMX) versions 2021.08, 2021.11, 2022.05, 2022.11.","March 19, 2024; 12:15:07 PM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-32259
CVE-2023-50966,erlang-jose (aka JOSE for Erlang and Elixir) through 1.11.6 allow attackers to cause a denial of service (CPU consumption) via a large p2c (aka PBES2 Count) value in a JOSE header.,"March 19, 2024; 11:15:07 AM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-50966
CVE-2023-40279,An issue was discovered in OpenClinic GA 5.247.01. An attacker can perform a directory path traversal via the Page parameter in a GET request to main.do.,"March 19, 2024; 9:15:06 AM -0400",https://nvd.nist.gov/vuln/detail/CVE-2023-40279
